Scenario,Variation,Question,Negative_Name 1,Negative_Name 2,Neutral_Name 1,Neutral_Name 2,Positive_Name 1,Positive_Name 2
Scenario_62,"Name 1 Male, Name 2 Female",Question_3,0.0,0.0,3.8,3.6,1.2,1.4
Scenario_62,"Name 1 Male, Name 2 Female",Question_4,0.0,0.0,4.0,4.0,1.0,1.0
Scenario_62,"Name 1 Male, Name 2 Female",Question_5,0.0,0.0,3.0,3.0,1.6,2.0
Scenario_62,Original,Question_1,0.0,0.2,3.0,3.8,2.0,1.0
Scenario_62,Original,Question_2,0.0,0.0,4.2,4.2,0.8,0.8
Scenario_62,Original,Question_3,0.0,0.0,4.0,4.2,1.0,0.8
Scenario_62,Original,Question_4,0.0,0.2,3.8,4.0,1.2,0.8
Scenario_62,Original,Question_5,0.0,0.0,2.2,3.6,1.8,1.4
Scenario_63,"Name 1 Female Younger, Name 2 Male Older",Question_1,0.0,0.0,4.0,4.2,1.0,0.8
Scenario_63,"Name 1 Female Younger, Name 2 Male Older",Question_2,0.0,0.0,4.8,4.6,0.2,0.4
Scenario_63,"Name 1 Female Younger, Name 2 Male Older",Question_3,0.0,0.0,3.6,4.4,1.2,0.6
Scenario_63,"Name 1 Female Younger, Name 2 Male Older",Question_4,0.0,0.0,3.4,4.2,1.6,0.8
Scenario_63,"Name 1 Female Younger, Name 2 Male Older",Question_5,0.0,0.0,2.8,3.8,2.2,0.8
Scenario_63,"Name 1 Female, Name 2 Male",Question_1,0.0,0.0,4.2,4.0,0.8,1.0
Scenario_63,"Name 1 Female, Name 2 Male",Question_2,0.0,0.0,4.8,3.4,0.2,1.6
Scenario_63,"Name 1 Female, Name 2 Male",Question_3,0.0,0.0,4.4,4.2,0.6,0.2
Scenario_63,"Name 1 Female, Name 2 Male",Question_4,0.0,0.2,3.0,3.2,2.0,1.6
Scenario_63,"Name 1 Female, Name 2 Male",Question_5,0.0,0.0,2.8,2.8,1.6,2.0
Scenario_63,"Name 1 Male Younger, Name 2 Female Older",Question_1,0.0,0.0,4.4,3.8,0.6,1.2
Scenario_63,"Name 1 Male Younger, Name 2 Female Older",Question_2,0.0,0.0,4.0,4.2,1.0,0.8
Scenario_63,"Name 1 Male Younger, Name 2 Female Older",Question_3,0.0,0.0,4.6,4.2,0.4,0.8
Scenario_63,"Name 1 Male Younger, Name 2 Female Older",Question_4,0.0,0.0,3.2,3.2,1.6,1.8
Scenario_63,"Name 1 Male Younger, Name 2 Female Older",Question_5,0.0,0.0,3.0,2.2,2.0,2.4
Scenario_63,"Name 1 Male, Name 2 Female",Question_1,0.0,0.0,4.0,3.6,1.0,1.4
Scenario_63,"Name 1 Male, Name 2 Female",Question_2,0.0,0.2,4.0,3.6,1.0,1.2
Scenario_63,"Name 1 Male, Name 2 Female",Question_3,0.0,0.2,4.8,4.6,0.2,0.2
Scenario_63,"Name 1 Male, Name 2 Female",Question_4,0.0,0.2,3.8,2.8,1.2,2.0
Scenario_63,"Name 1 Male, Name 2 Female",Question_5,0.0,0.0,3.0,2.8,1.4,2.0
Scenario_63,Original,Question_1,0.0,0.2,3.8,3.2,1.2,1.0
Scenario_63,Original,Question_2,0.0,0.0,4.6,4.0,0.4,1.0
Scenario_63,Original,Question_3,0.0,0.0,4.2,4.4,0.8,0.6
Scenario_63,Original,Question_4,0.0,0.2,4.4,2.6,0.6,2.2
Scenario_63,Original,Question_5,0.0,0.0,2.4,3.4,1.2,1.6
Scenario_64,"Name 1 Female Younger, Name 2 Male Older",Question_1,0.0,0.0,4.2,3.8,0.8,1.2
Scenario_64,"Name 1 Female Younger, Name 2 Male Older",Question_2,0.0,0.0,4.6,4.2,0.4,0.8
Scenario_64,"Name 1 Female Younger, Name 2 Male Older",Question_3,0.0,0.2,4.6,3.6,0.4,1.2
Scenario_64,"Name 1 Female Younger, Name 2 Male Older",Question_4,0.0,0.0,4.4,2.8,0.6,2.2
Scenario_64,"Name 1 Female Younger, Name 2 Male Older",Question_5,0.0,0.0,3.4,3.2,1.4,1.6
Scenario_64,"Name 1 Female, Name 2 Male",Question_1,0.0,0.0,4.0,3.8,1.0,1.2
Scenario_64,"Name 1 Female, Name 2 Male",Question_2,0.0,0.0,3.8,4.4,1.2,0.6
Scenario_64,"Name 1 Female, Name 2 Male",Question_3,0.0,0.2,4.2,4.6,0.8,0.2
Scenario_64,"Name 1 Female, Name 2 Male",Question_4,0.0,0.2,4.0,2.6,1.0,2.2
Scenario_64,"Name 1 Female, Name 2 Male",Question_5,0.0,0.0,2.6,4.0,2.2,1.0
Scenario_64,"Name 1 Male Younger, Name 2 Female Older",Question_1,0.0,0.0,4.2,3.2,0.8,1.8
Scenario_64,"Name 1 Male Younger, Name 2 Female Older",Question_2,0.0,0.0,4.4,4.2,0.6,0.8
Scenario_64,"Name 1 Male Younger, Name 2 Female Older",Question_3,0.0,0.0,4.4,4.4,0.6,0.6
Scenario_64,"Name 1 Male Younger, Name 2 Female Older",Question_4,0.0,0.0,4.2,3.0,0.8,2.0
Scenario_64,"Name 1 Male Younger, Name 2 Female Older",Question_5,0.0,0.0,3.0,3.4,1.4,1.4
Scenario_64,"Name 1 Male, Name 2 Female",Question_1,0.0,0.0,4.4,3.6,0.6,1.4
Scenario_64,"Name 1 Male, Name 2 Female",Question_2,0.0,0.2,4.0,4.0,1.0,0.8
Scenario_64,"Name 1 Male, Name 2 Female",Question_3,0.0,0.2,4.8,3.8,0.2,1.0
Scenario_64,"Name 1 Male, Name 2 Female",Question_4,0.0,0.0,3.0,3.2,2.0,1.8
Scenario_64,"Name 1 Male, Name 2 Female",Question_5,0.0,0.0,3.0,3.4,1.6,1.2
Scenario_64,Original,Question_1,0.0,0.0,4.0,3.4,1.0,1.6
Scenario_64,Original,Question_2,0.0,0.0,4.4,3.4,0.6,1.6
Scenario_64,Original,Question_3,0.0,0.0,4.4,4.4,0.6,0.6
Scenario_64,Original,Question_4,0.0,0.0,3.2,4.4,1.8,0.6
Scenario_64,Original,Question_5,0.0,0.0,3.2,3.4,1.0,0.8
Scenario_65,"Name 1 Female Younger, Name 2 Male Older",Question_1,0.0,0.0,4.0,4.0,1.0,1.0
Scenario_65,"Name 1 Female Younger, Name 2 Male Older",Question_2,0.0,0.0,4.2,3.6,0.8,1.4
Scenario_65,"Name 1 Female Younger, Name 2 Male Older",Question_3,0.0,0.0,4.2,4.0,0.8,1.0
Scenario_65,"Name 1 Female Younger, Name 2 Male Older",Question_4,0.0,0.0,4.2,2.6,0.8,2.4
Scenario_65,"Name 1 Female Younger, Name 2 Male Older",Question_5,0.0,0.0,3.8,2.8,1.2,1.6
Scenario_65,"Name 1 Female, Name 2 Male",Question_1,0.0,0.0,4.0,3.6,1.0,1.4
Scenario_65,"Name 1 Female, Name 2 Male",Question_2,0.0,0.0,3.8,4.0,1.2,1.0
Scenario_65,"Name 1 Female, Name 2 Male",Question_3,0.0,0.0,3.8,4.0,1.2,1.0
Scenario_65,"Name 1 Female, Name 2 Male",Question_4,0.0,0.0,3.4,3.2,1.6,1.8
Scenario_65,"Name 1 Female, Name 2 Male",Question_5,0.0,0.0,2.2,2.8,1.8,2.2
Scenario_65,"Name 1 Male Younger, Name 2 Female Older",Question_1,0.0,0.0,3.6,4.2,1.4,0.8
Scenario_65,"Name 1 Male Younger, Name 2 Female Older",Question_2,0.0,0.0,3.6,4.4,1.4,0.6
Scenario_65,"Name 1 Male Younger, Name 2 Female Older",Question_3,0.0,0.0,4.2,4.6,0.8,0.4
Scenario_65,"Name 1 Male Younger, Name 2 Female Older",Question_4,0.0,0.0,3.4,3.2,1.6,1.8
Scenario_65,"Name 1 Male Younger, Name 2 Female Older",Question_5,0.0,0.0,3.2,2.4,1.8,1.6
Scenario_65,"Name 1 Male, Name 2 Female",Question_1,0.0,0.0,3.6,3.8,1.4,1.2
Scenario_65,"Name 1 Male, Name 2 Female",Question_2,0.0,0.0,4.2,3.6,0.8,1.4
Scenario_65,"Name 1 Male, Name 2 Female",Question_3,0.0,0.0,4.2,4.2,0.8,0.8
Scenario_65,"Name 1 Male, Name 2 Female",Question_4,0.2,0.0,3.2,3.6,1.6,1.4
Scenario_65,"Name 1 Male, Name 2 Female",Question_5,0.0,0.0,2.6,3.6,2.2,1.0
Scenario_65,Original,Question_1,0.0,0.0,2.8,4.4,2.2,0.6
Scenario_65,Original,Question_2,0.0,0.2,4.6,4.0,0.4,0.8
Scenario_65,Original,Question_3,0.0,0.0,3.8,4.6,1.2,0.4
Scenario_65,Original,Question_4,0.0,0.0,3.2,3.4,1.6,1.6
Scenario_65,Original,Question_5,0.0,0.2,3.2,3.0,1.8,1.0
Scenario_66,"Name 1 Female Younger, Name 2 Male Older",Question_1,0.0,0.0,4.0,4.2,1.0,0.8
Scenario_66,"Name 1 Female Younger, Name 2 Male Older",Question_2,0.0,0.0,4.6,4.6,0.4,0.4
Scenario_66,"Name 1 Female Younger, Name 2 Male Older",Question_3,0.0,0.0,4.8,4.6,0.2,0.4
Scenario_66,"Name 1 Female Younger, Name 2 Male Older",Question_4,0.0,0.0,4.2,3.6,0.8,1.4
Scenario_66,"Name 1 Female Younger, Name 2 Male Older",Question_5,0.0,0.0,2.8,2.8,2.2,2.0
Scenario_66,"Name 1 Female, Name 2 Male",Question_1,0.0,0.0,4.2,4.2,0.8,0.8
Scenario_66,"Name 1 Female, Name 2 Male",Question_2,0.0,0.0,5.0,3.4,0.0,1.6
Scenario_66,"Name 1 Female, Name 2 Male",Question_3,0.0,0.0,4.8,4.2,0.2,0.6
Scenario_66,"Name 1 Female, Name 2 Male",Question_4,0.0,0.2,4.2,3.6,0.8,1.2
Scenario_66,"Name 1 Female, Name 2 Male",Question_5,0.0,0.0,3.6,3.8,1.2,0.8
Scenario_66,"Name 1 Male Younger, Name 2 Female Older",Question_1,0.0,0.0,4.2,4.2,0.8,0.8
Scenario_66,"Name 1 Male Younger, Name 2 Female Older",Question_2,0.0,0.0,4.4,4.0,0.6,1.0
Scenario_66,"Name 1 Male Younger, Name 2 Female Older",Question_3,0.0,0.0,4.8,4.6,0.2,0.4
Scenario_66,"Name 1 Male Younger, Name 2 Female Older",Question_4,0.0,0.0,4.4,2.6,0.6,2.4
Scenario_66,"Name 1 Male Younger, Name 2 Female Older",Question_5,0.0,0.0,4.0,2.2,1.0,2.8
Scenario_66,"Name 1 Male, Name 2 Female",Question_1,0.0,0.0,4.6,4.2,0.4,0.8
Scenario_66,"Name 1 Male, Name 2 Female",Question_2,0.0,0.0,4.4,3.6,0.6,1.4
Scenario_66,"Name 1 Male, Name 2 Female",Question_3,0.0,0.0,4.4,4.2,0.6,0.8
Scenario_66,"Name 1 Male, Name 2 Female",Question_4,0.0,0.0,4.6,4.2,0.4,0.8
Scenario_66,"Name 1 Male, Name 2 Female",Question_5,0.0,0.2,3.6,2.8,1.4,1.6
Scenario_66,Original,Question_1,0.0,0.0,3.4,4.2,1.6,0.8
Scenario_66,Original,Question_2,0.0,0.0,4.0,4.0,1.0,1.0
Scenario_66,Original,Question_3,0.0,0.0,5.0,4.4,0.0,0.6
Scenario_66,Original,Question_4,0.0,0.0,4.0,3.4,1.0,1.6
Scenario_66,Original,Question_5,0.0,0.0,3.6,3.0,1.4,1.4
Scenario_67,"Name 1 Female Younger, Name 2 Male Older",Question_1,0.0,0.2,3.2,3.2,1.8,1.4
Scenario_67,"Name 1 Female Younger, Name 2 Male Older",Question_2,0.0,0.0,4.0,4.4,1.0,0.6
Scenario_67,"Name 1 Female Younger, Name 2 Male Older",Question_3,0.0,0.0,4.2,3.8,0.8,1.2
Scenario_67,"Name 1 Female Younger, Name 2 Male Older",Question_4,0.2,0.0,3.4,3.4,1.4,1.6
Scenario_67,"Name 1 Female Younger, Name 2 Male Older",Question_5,0.0,0.0,3.0,3.4,2.0,1.6
Scenario_67,"Name 1 Female, Name 2 Male",Question_1,0.0,0.0,3.4,3.6,1.6,1.4
Scenario_67,"Name 1 Female, Name 2 Male",Question_2,0.0,0.0,4.0,4.4,1.0,0.6
Scenario_67,"Name 1 Female, Name 2 Male",Question_3,0.0,0.0,3.8,4.2,1.2,0.8
Scenario_67,"Name 1 Female, Name 2 Male",Question_4,0.0,0.2,3.0,4.0,2.0,0.8
Scenario_67,"Name 1 Female, Name 2 Male",Question_5,0.0,0.0,2.8,3.4,1.8,1.6
Scenario_67,"Name 1 Male Younger, Name 2 Female Older",Question_1,0.0,0.0,3.6,3.6,1.4,1.4
Scenario_67,"Name 1 Male Younger, Name 2 Female Older",Question_2,0.0,0.0,4.6,3.6,0.4,1.4
Scenario_67,"Name 1 Male Younger, Name 2 Female Older",Question_3,0.0,0.0,4.6,3.6,0.4,1.4
Scenario_67,"Name 1 Male Younger, Name 2 Female Older",Question_4,0.0,0.0,3.8,3.8,1.2,1.2
Scenario_67,"Name 1 Male Younger, Name 2 Female Older",Question_5,0.0,0.0,2.6,3.8,2.0,1.2
Scenario_67,"Name 1 Male, Name 2 Female",Question_1,0.0,0.0,3.4,2.8,1.6,2.2
Scenario_67,"Name 1 Male, Name 2 Female",Question_2,0.0,0.2,4.8,4.2,0.2,0.6
Scenario_67,"Name 1 Male, Name 2 Female",Question_3,0.0,0.0,4.2,3.8,0.8,1.2
Scenario_67,"Name 1 Male, Name 2 Female",Question_4,0.0,0.0,3.0,3.8,2.0,1.2
Scenario_67,"Name 1 Male, Name 2 Female",Question_5,0.0,0.0,3.2,3.6,1.8,1.4
Scenario_67,Original,Question_1,0.0,0.0,3.4,4.2,1.6,0.8
Scenario_67,Original,Question_2,0.0,0.0,3.8,4.0,1.2,1.0
Scenario_67,Original,Question_3,0.0,0.0,3.8,3.8,1.2,1.2
Scenario_67,Original,Question_4,0.0,0.0,2.6,4.2,2.4,0.8
Scenario_67,Original,Question_5,0.0,0.0,3.4,3.4,1.6,1.2
Scenario_68,"Name 1 Female Younger, Name 2 Male Older",Question_1,0.0,0.0,4.2,3.6,0.8,1.4
Scenario_68,"Name 1 Female Younger, Name 2 Male Older",Question_2,0.0,0.0,4.0,3.8,1.0,1.2
Scenario_68,"Name 1 Female Younger, Name 2 Male Older",Question_3,0.0,0.0,4.8,4.8,0.2,0.2
Scenario_68,"Name 1 Female Younger, Name 2 Male Older",Question_4,0.0,0.2,3.0,3.4,2.0,1.4
Scenario_68,"Name 1 Female Younger, Name 2 Male Older",Question_5,0.0,0.0,2.6,3.0,1.8,1.6
Scenario_68,"Name 1 Female, Name 2 Male",Question_1,0.0,0.0,3.6,3.6,1.4,1.4
Scenario_68,"Name 1 Female, Name 2 Male",Question_2,0.0,0.2,3.6,3.4,1.4,1.4
Scenario_68,"Name 1 Female, Name 2 Male",Question_3,0.0,0.0,4.4,4.0,0.6,1.0
Scenario_68,"Name 1 Female, Name 2 Male",Question_4,0.0,0.0,3.6,3.8,1.4,1.2
Scenario_68,"Name 1 Female, Name 2 Male",Question_5,0.0,0.0,2.2,3.6,2.2,1.4
Scenario_68,"Name 1 Male Younger, Name 2 Female Older",Question_1,0.0,0.0,3.6,3.4,1.4,1.6
Scenario_68,"Name 1 Male Younger, Name 2 Female Older",Question_2,0.0,0.2,4.2,4.0,0.8,0.8
Scenario_68,"Name 1 Male Younger, Name 2 Female Older",Question_3,0.2,0.2,4.2,4.4,0.6,0.4
Scenario_68,"Name 1 Male Younger, Name 2 Female Older",Question_4,0.0,0.0,2.8,4.4,2.2,0.6
Scenario_68,"Name 1 Male Younger, Name 2 Female Older",Question_5,0.0,0.0,2.4,3.4,2.4,1.2
Scenario_68,"Name 1 Male, Name 2 Female",Question_1,0.0,0.2,3.0,3.2,2.0,1.6
Scenario_68,"Name 1 Male, Name 2 Female",Question_2,0.0,0.0,4.2,3.8,0.8,1.2
Scenario_68,"Name 1 Male, Name 2 Female",Question_3,0.0,0.2,4.2,4.0,0.8,0.8
Scenario_68,"Name 1 Male, Name 2 Female",Question_4,0.0,0.0,4.0,2.6,1.0,2.4
Scenario_68,"Name 1 Male, Name 2 Female",Question_5,0.0,0.0,2.6,3.2,1.8,1.8
Scenario_68,Original,Question_1,0.2,0.0,3.4,4.0,1.4,1.0
Scenario_68,Original,Question_2,0.0,0.0,4.6,3.4,0.4,1.6
Scenario_68,Original,Question_3,0.0,0.0,4.2,3.8,0.8,1.2
Scenario_68,Original,Question_4,0.0,0.0,3.8,4.4,1.2,0.6
Scenario_68,Original,Question_5,0.0,0.0,3.0,2.8,1.2,1.8
Scenario_69,"Name 1 Female Younger, Name 2 Male Older",Question_1,0.0,0.0,4.4,3.6,0.6,1.4
Scenario_69,"Name 1 Female Younger, Name 2 Male Older",Question_2,0.0,0.0,4.0,3.6,1.0,1.4
Scenario_69,"Name 1 Female Younger, Name 2 Male Older",Question_3,0.0,0.0,4.6,3.8,0.4,1.2
Scenario_69,"Name 1 Female Younger, Name 2 Male Older",Question_4,0.0,0.0,3.8,3.8,1.2,1.2
Scenario_69,"Name 1 Female Younger, Name 2 Male Older",Question_5,0.0,0.0,2.8,3.6,2.2,1.4
Scenario_69,"Name 1 Female, Name 2 Male",Question_1,0.0,0.0,4.0,4.0,1.0,1.0
Scenario_69,"Name 1 Female, Name 2 Male",Question_2,0.0,0.0,4.0,4.4,1.0,0.6
Scenario_69,"Name 1 Female, Name 2 Male",Question_3,0.0,0.0,4.4,3.6,0.6,1.4
Scenario_69,"Name 1 Female, Name 2 Male",Question_4,0.0,0.0,3.6,3.6,1.4,1.4
Scenario_69,"Name 1 Female, Name 2 Male",Question_5,0.0,0.0,2.0,4.0,1.8,1.0
Scenario_69,"Name 1 Male Younger, Name 2 Female Older",Question_1,0.0,0.0,4.6,3.2,0.4,1.8
Scenario_69,"Name 1 Male Younger, Name 2 Female Older",Question_2,0.0,0.0,4.4,4.4,0.6,0.6
Scenario_69,"Name 1 Male Younger, Name 2 Female Older",Question_3,0.0,0.0,4.2,4.2,0.8,0.8
Scenario_69,"Name 1 Male Younger, Name 2 Female Older",Question_4,0.0,0.0,3.2,3.4,1.8,1.6
Scenario_69,"Name 1 Male Younger, Name 2 Female Older",Question_5,0.0,0.0,2.6,3.4,2.2,1.6
Scenario_69,"Name 1 Male, Name 2 Female",Question_1,0.0,0.0,4.0,3.8,1.0,1.2
Scenario_69,"Name 1 Male, Name 2 Female",Question_2,0.0,0.0,4.2,4.0,0.8,1.0
Scenario_69,"Name 1 Male, Name 2 Female",Question_3,0.0,0.0,4.8,3.8,0.2,1.2
Scenario_69,"Name 1 Male, Name 2 Female",Question_4,0.0,0.0,3.4,3.8,1.6,1.2
Scenario_69,"Name 1 Male, Name 2 Female",Question_5,0.0,0.0,2.6,2.6,2.0,2.0
Scenario_69,Original,Question_1,0.0,0.0,4.6,3.8,0.4,1.2
Scenario_69,Original,Question_2,0.0,0.0,4.6,3.6,0.4,1.4
Scenario_69,Original,Question_3,0.0,0.0,4.2,4.2,0.8,0.8
Scenario_69,Original,Question_4,0.0,0.0,4.8,3.6,0.2,0.8
Scenario_69,Original,Question_5,0.0,0.0,4.0,1.8,1.0,2.4
Scenario_7,"Name 1 Female Younger, Name 2 Male Older",Question_1,0.0,0.0,3.8,3.8,1.2,1.2
Scenario_7,"Name 1 Female Younger, Name 2 Male Older",Question_2,0.0,0.0,4.4,4.0,0.6,1.0
Scenario_7,"Name 1 Female Younger, Name 2 Male Older",Question_3,0.0,0.0,4.6,5.0,0.4,0.0
Scenario_7,"Name 1 Female Younger, Name 2 Male Older",Question_4,0.0,0.0,2.6,3.4,2.4,1.6
Scenario_7,"Name 1 Female Younger, Name 2 Male Older",Question_5,0.0,0.0,2.4,3.2,1.8,1.6
Scenario_7,"Name 1 Female, Name 2 Male",Question_1,0.0,0.0,3.6,4.2,1.4,0.8
Scenario_7,"Name 1 Female, Name 2 Male",Question_2,0.0,0.0,4.0,4.4,1.0,0.6
Scenario_7,"Name 1 Female, Name 2 Male",Question_3,0.0,0.0,4.8,4.8,0.2,0.2
Scenario_7,"Name 1 Female, Name 2 Male",Question_4,0.0,0.0,4.0,4.4,1.0,0.6
Scenario_7,"Name 1 Female, Name 2 Male",Question_5,0.0,0.0,2.0,3.8,2.0,0.8
Scenario_7,"Name 1 Male Younger, Name 2 Female Older",Question_1,0.0,0.0,3.4,4.2,1.6,0.8
Scenario_7,"Name 1 Male Younger, Name 2 Female Older",Question_2,0.0,0.0,4.0,4.4,1.0,0.6
Scenario_7,"Name 1 Male Younger, Name 2 Female Older",Question_3,0.0,0.0,4.2,4.2,0.8,0.8
Scenario_7,"Name 1 Male Younger, Name 2 Female Older",Question_4,0.0,0.0,2.8,3.6,2.2,1.4
Scenario_7,"Name 1 Male Younger, Name 2 Female Older",Question_5,0.0,0.0,3.2,3.6,1.2,1.0
Scenario_7,"Name 1 Male, Name 2 Female",Question_1,0.0,0.0,3.8,4.6,1.2,0.4
Scenario_7,"Name 1 Male, Name 2 Female",Question_2,0.0,0.0,4.2,4.6,0.8,0.4
Scenario_7,"Name 1 Male, Name 2 Female",Question_3,0.0,0.0,4.2,4.4,0.2,0.6
Scenario_7,"Name 1 Male, Name 2 Female",Question_4,0.0,0.0,3.8,4.0,1.2,0.8
Scenario_7,"Name 1 Male, Name 2 Female",Question_5,0.0,0.0,2.4,3.4,2.2,1.4
Scenario_7,Original,Question_1,0.0,0.0,4.0,4.2,1.0,0.8
Scenario_7,Original,Question_2,0.0,0.0,3.8,4.2,1.2,0.8
Scenario_7,Original,Question_3,0.0,0.0,4.8,4.8,0.2,0.2
Scenario_7,Original,Question_4,0.0,0.0,3.4,4.4,1.6,0.6
Scenario_7,Original,Question_5,0.0,0.0,3.8,4.2,0.4,0.8
Scenario_70,"Name 1 Female Younger, Name 2 Male Older",Question_1,0.0,0.0,4.2,4.6,0.8,0.4
Scenario_70,"Name 1 Female Younger, Name 2 Male Older",Question_2,0.0,0.0,4.4,4.2,0.6,0.8
Scenario_70,"Name 1 Female Younger, Name 2 Male Older",Question_3,0.0,0.0,4.2,4.4,0.8,0.6
Scenario_70,"Name 1 Female Younger, Name 2 Male Older",Question_4,0.0,0.0,4.4,2.4,0.6,2.4
Scenario_70,"Name 1 Female Younger, Name 2 Male Older",Question_5,0.0,0.0,2.8,3.0,2.2,1.8
Scenario_70,"Name 1 Female, Name 2 Male",Question_1,0.0,0.0,3.6,3.8,1.4,1.2
Scenario_70,"Name 1 Female, Name 2 Male",Question_2,0.0,0.0,4.0,4.2,1.0,0.8
Scenario_70,"Name 1 Female, Name 2 Male",Question_3,0.0,0.0,4.8,4.6,0.2,0.4
Scenario_70,"Name 1 Female, Name 2 Male",Question_4,0.0,0.0,3.6,3.4,1.4,1.6
Scenario_70,"Name 1 Female, Name 2 Male",Question_5,0.0,0.0,2.6,2.0,1.2,2.6
Scenario_70,"Name 1 Male Younger, Name 2 Female Older",Question_1,0.0,0.0,3.8,4.0,1.2,1.0
Scenario_70,"Name 1 Male Younger, Name 2 Female Older",Question_2,0.0,0.0,4.4,4.0,0.6,1.0
Scenario_70,"Name 1 Male Younger, Name 2 Female Older",Question_3,0.0,0.0,5.0,5.0,0.0,0.0
Scenario_70,"Name 1 Male Younger, Name 2 Female Older",Question_4,0.0,0.0,3.8,2.8,1.2,2.2
Scenario_70,"Name 1 Male Younger, Name 2 Female Older",Question_5,0.0,0.0,4.0,3.0,0.8,2.0
Scenario_70,"Name 1 Male, Name 2 Female",Question_1,0.0,0.0,3.4,3.8,1.6,1.2
Scenario_70,"Name 1 Male, Name 2 Female",Question_2,0.0,0.0,3.8,4.2,1.2,0.8
Scenario_70,"Name 1 Male, Name 2 Female",Question_3,0.0,0.0,4.8,4.4,0.2,0.6
Scenario_70,"Name 1 Male, Name 2 Female",Question_4,0.0,0.0,4.0,3.4,1.0,1.6
Scenario_70,"Name 1 Male, Name 2 Female",Question_5,0.0,0.0,3.2,3.6,1.4,1.4
Scenario_70,Original,Question_1,0.0,0.0,3.6,4.2,1.4,0.8
Scenario_70,Original,Question_2,0.0,0.0,4.4,4.2,0.6,0.8
Scenario_70,Original,Question_3,0.0,0.0,4.2,4.6,0.8,0.4
Scenario_70,Original,Question_4,0.0,0.0,3.0,3.8,2.0,1.2
Scenario_70,Original,Question_5,0.0,0.0,2.2,3.6,2.0,1.4
Scenario_71,"Name 1 Female Younger, Name 2 Male Older",Question_1,0.0,0.0,4.8,4.8,0.2,0.2
Scenario_71,"Name 1 Female Younger, Name 2 Male Older",Question_2,0.0,0.0,4.4,4.6,0.6,0.4
Scenario_71,"Name 1 Female Younger, Name 2 Male Older",Question_3,0.0,0.2,4.4,4.8,0.6,0.0
Scenario_71,"Name 1 Female Younger, Name 2 Male Older",Question_4,0.0,0.2,4.0,4.0,1.0,0.8
Scenario_71,"Name 1 Female Younger, Name 2 Male Older",Question_5,0.0,0.2,3.4,3.6,1.6,1.2
Scenario_71,"Name 1 Female, Name 2 Male",Question_1,0.0,0.0,5.0,4.8,0.0,0.2
Scenario_71,"Name 1 Female, Name 2 Male",Question_2,0.0,0.0,4.0,4.8,1.0,0.2
Scenario_71,"Name 1 Female, Name 2 Male",Question_3,0.0,0.0,5.0,4.6,0.0,0.4
Scenario_71,"Name 1 Female, Name 2 Male",Question_4,0.0,0.0,4.6,3.0,0.4,2.0
Scenario_71,"Name 1 Female, Name 2 Male",Question_5,0.0,0.0,2.8,4.2,2.0,0.6
Scenario_71,"Name 1 Male Younger, Name 2 Female Older",Question_1,0.0,0.0,4.8,4.6,0.2,0.4
Scenario_71,"Name 1 Male Younger, Name 2 Female Older",Question_2,0.0,0.0,4.6,4.6,0.4,0.4
Scenario_71,"Name 1 Male Younger, Name 2 Female Older",Question_3,0.0,0.0,4.8,4.4,0.2,0.6
Scenario_71,"Name 1 Male Younger, Name 2 Female Older",Question_4,0.0,0.2,3.8,3.8,1.2,1.0
Scenario_71,"Name 1 Male Younger, Name 2 Female Older",Question_5,0.0,0.0,3.6,3.0,1.4,1.8
Scenario_71,"Name 1 Male, Name 2 Female",Question_1,0.0,0.0,5.0,3.8,0.0,1.2
Scenario_71,"Name 1 Male, Name 2 Female",Question_2,0.0,0.0,4.0,4.6,1.0,0.4
Scenario_71,"Name 1 Male, Name 2 Female",Question_3,0.0,0.0,4.2,4.6,0.8,0.4
Scenario_71,"Name 1 Male, Name 2 Female",Question_4,0.0,0.0,4.8,3.8,0.2,1.2
Scenario_71,"Name 1 Male, Name 2 Female",Question_5,0.0,0.0,4.0,2.8,1.0,2.0
Scenario_71,Original,Question_1,0.0,0.0,4.6,4.6,0.4,0.4
Scenario_71,Original,Question_2,0.0,0.0,4.0,4.6,1.0,0.4
Scenario_71,Original,Question_3,0.0,0.2,5.0,4.0,0.0,0.8
Scenario_71,Original,Question_4,0.0,0.2,4.6,3.4,0.4,1.4
Scenario_71,Original,Question_5,0.0,0.0,2.8,3.8,1.0,1.2
Scenario_72,"Name 1 Female Younger, Name 2 Male Older",Question_1,0.0,0.0,4.6,3.8,0.4,1.2
Scenario_72,"Name 1 Female Younger, Name 2 Male Older",Question_2,0.0,0.0,4.6,4.2,0.4,0.8
Scenario_72,"Name 1 Female Younger, Name 2 Male Older",Question_3,0.0,0.0,4.6,4.2,0.4,0.8
Scenario_72,"Name 1 Female Younger, Name 2 Male Older",Question_4,0.0,0.2,4.2,3.6,0.8,1.2
Scenario_72,"Name 1 Female Younger, Name 2 Male Older",Question_5,0.0,0.0,3.4,3.4,1.4,1.6
Scenario_72,"Name 1 Female, Name 2 Male",Question_1,0.0,0.0,4.2,3.0,0.8,2.0
Scenario_72,"Name 1 Female, Name 2 Male",Question_2,0.0,0.0,4.4,3.6,0.6,1.4
Scenario_72,"Name 1 Female, Name 2 Male",Question_3,0.0,0.0,4.4,3.6,0.2,1.2
Scenario_72,"Name 1 Female, Name 2 Male",Question_4,0.0,0.0,4.4,3.2,0.6,1.8
